epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,2.2337584550037004,0.14563651519685375,2.0620785592555255,0.1864973029406647,0.14128644632332135
2,2.0663091645678153,0.2043488792943758,1.9764658572218698,0.22065425439359665,0.13114183134098165
3,2.0154114489519417,0.20886055657675373,1.9266178698545542,0.21041412911084043,0.16425381938002054
4,1.974405515810378,0.20527330112996767,1.8776792936207254,0.21201496432921524,0.1731719330564288
5,1.9367180737407623,0.2120844554638852,1.8341521774392886,0.20986601705237515,0.1787870267670226
6,1.9053934019991448,0.21750274298579347,1.8062648794765948,0.2179658952496955,0.1802389178892948
7,1.8864243171739565,0.22118083757249318,1.807797309081617,0.21044022968505308,0.172100011821738
8,1.873707961485092,0.2253861554026133,1.7843151523234306,0.22248129458848095,0.18002174441006094
9,1.8644690741518197,0.2260772453297995,1.7810367354812344,0.21766138855054812,0.1745998827399542
10,1.857896294429246,0.2262981091209621,1.7763195438925985,0.21456412041064904,0.16989521298013524
11,1.8515048636699671,0.22637469898402657,1.7738160521585422,0.2186097094136071,0.17364866206513005
12,1.846938823730921,0.226700651191952,1.762145257979367,0.21946232817121977,0.16841192011016964
13,1.8440885007781471,0.2251902278459368,1.7628603473090494,0.21400730816077954,0.16752123711565492
14,1.8404216598904883,0.22532203365679193,1.7622427295099368,0.20841308508787193,0.1667530345408606
15,1.8385739607535045,0.22563729890708045,1.7646145719309485,0.21080563772402994,0.16681730342884743
16,1.83576190143131,0.22556961484204677,1.767931730435665,0.19906907951974945,0.1519552107140723
17,1.8340111782487656,0.22496758289516808,1.762098159519552,0.20170523751522534,0.15163182812879894
18,1.8322348602462313,0.2246808161985779,1.7554384784489399,0.21200626413781104,0.16490310437949068
19,1.8312286265049713,0.2242408697758589,1.751858891232731,0.20747346441621717,0.15644256257509
20,1.8297875555900929,0.22462738141039343,1.7496786713206045,0.20669044718983817,0.15309298236157284
21,1.828856962180579,0.22476096838085466,1.7501486613809782,0.20858708891595615,0.15546226605216035
22,1.826703969688852,0.22459353937787657,1.7513592212744042,0.21074473638420047,0.15877926944172854
23,1.8264377256802684,0.22519735248436143,1.7465263143422938,0.20802157647468245,0.15433226557698593
24,1.8257542293469469,0.223339603015147,1.7595367836209614,0.2021576474682443,0.1497288393610176
25,1.8242058835111612,0.22491949158580202,1.747732832984798,0.20554202192448234,0.15158890246375994
